pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,con_ppc_,con_ppc_sex,con_ppc_race,lab_ppc_,lab_ppc_sex,lab_ppc_race,ld_ppc_,ld_ppc_sex,ld_ppc_race,ukip_ppc_,ukip_ppc_sex,ukip_ppc_race,snp_ppc_,snp_ppc_sex,snp_ppc_race,pc_ppc_,pc_ppc_sex,pc_ppc_race,green_ppc_,green_ppc_sex,green_ppc_race,con_long_spend_percent,con_short_spend_percent,lab_long_spend_percent,lab_short_spend_percent,ldlong_spend_percent,ldshort_spend_percent,snplong_spend_percent,snpshort_spend_percent,pclong_spend_percent,pcshort_spend_percent,ukiplong_spend_percent,ukipshort_spend_percent,green_long_spend_percent,green_short_spend_percent
28,E14000540,Barking,-36.51,1,-1,England,London,Borough,Labour,16.30770661,57.67988662,1.305731744,NA,NA,22.19743965,2.084059385,0.425175995,35.48244697,58.18159698,7019,24826,562,NA,NA,9554,897,NA,43041,111,73977,NA,-1.492293395,3.36988662,-6.894268256,NA,NA,19.32743965,1.384059385,Labour,17.8,54.31,8.2,NA,NA,2.87,0.7,14.6,36.5,61.4,8073,24628,3719,NA,NA,1300,317,6620,45343,73864,"Rahman, Mina",Woman,BME,"Hodge, Margaret Eve",Woman,White,"Willcock, Peter Anthony",Man,White,"Gravett, Roger",Man,White,NA,NA,NA,NA,NA,NA,"Rablen, Tony Ford",Man,White,0,30.5,3.31,67.65,0,0,NA,NA,NA,NA,0,38.87,2.06,0.86
29,E14000541,Barnsley Central,-30,1,-1,England,Yorkshire and The Humber,Borough,Labour,15.00273523,55.73304158,2.106126915,NA,NA,21.72045952,2.565645514,2.871991247,34.01258206,56.65230731,5485,20376,770,NA,NA,7941,938,NA,36560,110,64534,NA,-2.25726477,8.473041575,-15.17387309,NA,NA,17.05045952,2.565645514,Labour,17.26,47.26,17.28,NA,NA,4.67,0,8.94,30,56.5,6388,17487,6394,NA,NA,1727,NA,3307,37001,65451,"Carter, Kay Julie",Woman,White,"Jarvis, Dan",Man,White,"Ridgway, Jonh Anthony David",Man,White,"Hunter, Lee James",Man,White,NA,NA,NA,NA,NA,NA,"Short, Michael",Man,White,0,7.52,10.33,61.1,0,0,NA,NA,NA,NA,2.15,0.49,0,1.67
30,E14000542,Barnsley East,-30.56,1,-1,England,Yorkshire and The Humber,County,Labour,14.59615235,54.72648441,3.159643794,NA,NA,23.48313732,NA,4.034582133,31.24334709,55.71273595,5622,21079,1217,NA,NA,9045,NA,NA,38517,180,69135,NA,-1.893847652,7.676484409,-15.00035621,NA,NA,18.97313732,NA,Labour,16.49,47.05,18.16,NA,NA,4.51,0,8.6,28.9,56.1,6329,18059,6969,NA,NA,1731,NA,3301,38386,68401,"Harborne, Katharine Mary",Woman,White,"Dugher, Michael Vincent",Man,White,"Coleman-Taylor, Ruth",Woman,White,"Swiffen, Robert Graham",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.81,2.83,47.82,0,0,NA,NA,NA,NA,3.94,9.67,0,0
31,E14000543,Barrow and Furness,-11.81,1,-1,England,North West,County,Labour,40.49682265,42.33391103,2.701328712,NA,NA,11.71577123,2.451761987,0.300404391,1.837088388,63.32494366,17525,18320,1169,NA,NA,5070,1061,NA,43275,159,68338,NA,4.196822646,-5.776088966,-7.328671288,NA,NA,9.805771231,1.251761987,Labour,36.3,48.11,10.03,NA,NA,1.91,1.2,1.9,11.8,64.2,16018,21226,4424,NA,NA,841,530,840,44124,68943,"Fell, Simon",Man,White,"Woodcock, John Zak",Man,White,"Peaple, Clive Jonathan",Man,White,"Cecil, Nigel",Man,White,NA,NA,NA,NA,NA,NA,"O'Hara, Robert",Man,White,6.06,62.85,0,77.64,0,11.94,NA,NA,NA,NA,0,7.33,0,7.7
32,E14000544,Basildon and Billericay,29.68,1,1,England,East of England,Borough,Conservative,52.68197453,23.67295714,3.802175328,NA,NA,19.842893,NA,NA,29.00901738,64.85296999,22668,10186,1636,NA,NA,8538,NA,NA,43028,198,66347,NA,-0.058025472,0.612957144,-11.92782467,NA,NA,16.012893,NA,Conservative,52.74,23.06,15.73,NA,NA,3.83,0,4.65,29.7,63.5,21922,9584,6538,NA,NA,1591,NA,1934,41569,65515,"Baron, John Charles",Man,White,"Callaghan, Gavin Dominc",Man,White,"Thompson, Martin Adam",Man,White,"Konstantinidis, George",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,24.58,62.47,0,0,NA,NA,NA,NA,44.19,35.76,0,0
33,E14000933,South Basildon and East Thurrock,12.91,1,1,England,East of England,County,Conservative,43.40139934,25.20781699,2.974140767,NA,NA,26.53258176,NA,1.88406115,16.86881758,64.07560958,19788,11493,1356,NA,NA,12097,NA,NA,45593,106,71155,NA,-0.468600662,-5.752183011,-10.38585923,NA,NA,20.63258176,NA,Conservative,43.87,30.96,13.36,NA,NA,5.9,0,5.63,12.9,62.3,19624,13852,5977,NA,NA,2639,NA,2518,44735,71874,"Metcalfe, Stephen",Man,White,"Le-Surf, Mike",Man,White,"Williams, Geoff",Man,White,"Luder, Ian",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.48,80.03,19.86,97.86,0,0,NA,NA,NA,NA,20.6,29.07,0,0
34,E14000545,Basingstoke,26.01,1,1,England,South East,Borough,Conservative,48.55113422,27.70743839,7.383751601,NA,NA,15.61911222,NA,0.738563569,20.84369583,66.62398795,25769,14706,3919,NA,NA,8290,NA,NA,53076,219,79665,NA,-1.968865777,7.31743839,-17.1262484,NA,NA,11.51911222,NA,Conservative,50.52,20.39,24.51,NA,NA,4.1,0,NA,26,67.1,25590,10327,12414,NA,NA,2076,NA,NA,50654,75326,"Miller, Maria Fraces Lewis",Woman,White,"Harvey, Paul Duncan",Man,White,"Spalding, Janice Ursula",Woman,White,"Stone, Alan Harvey",Man,White,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45,69.84,29.63,45.98,1.29,93.4,NA,NA,NA,NA,10.38,65.58,0,0
35,E14000546,Bassetlaw,-16.57,1,-1,England,East Midlands,County,Labour,30.68027349,48.62139625,2.700399683,NA,NA,15.95690722,2.041023352,NA,17.94112277,64.18172822,15122,23965,1331,NA,NA,7865,1006,NA,49289,170,76796,NA,-3.209726511,-1.838603745,-8.539600317,NA,NA,12.36690722,2.041023352,Labour,33.89,50.46,11.24,NA,NA,3.59,0,NA,16.6,64.8,16803,25018,5570,NA,NA,1779,NA,NA,49577,76513,"Downes, Sarah Catherine",Woman,White,"Mann, John",Man,White,"Duveen, Leon Maurice",Man,White,"Scott, David John (Dave)",Man,White,NA,NA,NA,NA,NA,NA,"Wragg, Kris",Man,White,0.79,13.13,11.71,70.83,0,0.86,NA,NA,NA,NA,0,2.9,0,4.64
36,E14000547,Bath,-25.24,0,0,England,South West,Borough,Conservative,37.80821337,13.17870545,29.68176903,NA,NA,6.195009223,11.94479191,1.191511014,8.126444336,74.76856255,17833,6216,14000,NA,NA,2922,5634,NA,47167,192,63084,Conservative gain from Liberal Democrat,6.44821337,6.278705451,-26.91823097,NA,NA,4.305009223,9.56479191,Liberal Democrat,31.36,6.9,56.6,NA,NA,1.89,2.38,NA,25.2,71.8,14768,3251,26651,NA,NA,890,1120,NA,47086,66686,"Howlett, Ben",Man,White,"Middleton, Ollie",Man,White,"Bradley, Steve",Man,White,"Deverell, Julian Richard",Man,White,NA,NA,NA,NA,NA,NA,"Tristram, Dominic Barrington",Man,White,80.93,82.16,5.94,66.9,37.39,89.72,NA,NA,NA,NA,18.12,53.09,20.86,2.54
37,E14000548,Batley and Spen,-8.62,0,0,England,Yorkshire and The Humber,Borough,Labour,31.23873294,43.23778205,4.746528259,NA,NA,17.98767804,2.440618871,0.348659839,11.99904911,64.40866115,15769,21826,2396,NA,NA,9080,1232,NA,50479,200,78373,NA,-2.331267062,1.047782048,-11.09347174,NA,NA,17.98767804,1.260618871,Labour,33.57,42.19,15.84,NA,NA,0,1.18,7.21,8.6,66.6,17159,21565,8095,NA,NA,NA,605,3685,51109,76738,"Ameen, Imtiaz Ali",Man,BME,"Cox, Jo",Woman,White,"Lawson, John Craig",Man,White,"Lukic, Aleksandar",Man,White,NA,NA,NA,NA,NA,NA,"Bullock, Ian James",Man,White,6.69,61.52,22.42,92.31,0,11.5,NA,NA,NA,NA,7.93,5.82,0,4.47
38,E14000549,Battersea,12.25,1,1,England,London,Borough,Conservative,52.37992593,36.8246752,4.391448335,NA,NA,3.107914797,3.296035743,NA,15.55525073,67.04812708,26730,18792,2241,NA,NA,1586,1682,NA,51031,141,76111,NA,5.029925927,1.724675197,-10.31855166,NA,NA,2.067914797,2.146035743,Conservative,47.35,35.1,14.71,NA,NA,1.04,1.15,NA,12.3,65.7,23103,17126,7176,NA,NA,505,559,NA,48792,74311,"Ellison, Jane",Woman,White,"Martindale, Will",Man,White,"Taylor, Luke Alexander",Man,White,"Howe, Christopher Jeffrey",Man,White,NA,NA,NA,NA,NA,NA,"Stuart, Joe",Man,BME,52.19,86.58,70.23,93.65,0.16,20.81,NA,NA,NA,NA,1.64,16.13,0.05,1.04
39,E14000550,Beaconsfield,41.49,1,1,England,South East,County,Conservative,63.24135207,11.42523936,7.386716325,NA,NA,13.75016459,4.19652766,NA,49.49118748,71.14391243,33621,6074,3927,NA,NA,7310,2231,NA,53163,261,74726,NA,2.181352068,-0.264760642,-12.18328367,NA,NA,8.800164588,2.73652766,Conservative,61.06,11.69,19.57,NA,NA,4.95,1.46,NA,41.5,70,32053,6135,10271,NA,NA,2597,768,NA,52490,74982,"Grieve, Dominic",Man,White,"Clements, Tony",Man,White,"Chapman, Peter Jeffrey",Man,White,"Scott, Tim",Man,White,NA,NA,NA,NA,NA,NA,"Hampton, Dave",Man,White,0,45.57,0,0.4,0,5.54,NA,NA,NA,NA,0,12.46,0,3.69
40,E14000551,Beckenham,37.29,1,1,England,London,Borough,Conservative,57.28131467,19.43323156,6.921705633,NA,NA,12.51562404,3.848124091,NA,37.84808311,72.36613829,27955,9484,3378,NA,NA,6108,1878,NA,48803,119,67439,NA,-0.588685327,4.983231564,-13.65829437,NA,NA,9.26562404,2.568124091,Conservative,57.87,14.45,20.58,NA,NA,3.25,1.28,2.1,37.3,72,27597,6893,9813,NA,NA,1551,608,1001,47686,66219,"Stewart, Bob",Man,White,"Ahmad, Marina",Woman,BME,"Prashar, Anuja",Woman,BME,"Bryant, Rob",Man,White,NA,NA,NA,NA,NA,NA,"Fabricant, Ruth",Woman,White,1.26,39.12,0.1,24.29,0.46,13.85,NA,NA,NA,NA,4.84,13.21,0,1.17
41,E14000552,Bedford,3,1,1,England,East of England,Borough,Conservative,42.58343098,40.20309855,4.248578744,NA,NA,9.62114308,3.063837174,0.27991147,2.380332422,66.49161028,19625,18528,1958,NA,NA,4434,1412,NA,46086,258,69311,NA,3.683430977,4.303098555,-15.61142126,NA,NA,7.10114308,2.193837174,Conservative,38.9,35.9,19.86,NA,NA,2.52,0.87,1.68,3,65.8,17546,16193,8957,NA,NA,1136,393,757,45102,67644,"Fuller, Richard Quintin",Man,White,"Hall, Patrick",Man,White,"Rogers, Mahmud Henry",Man,White,"Smith, Charlie",Man,White,NA,NA,NA,NA,NA,NA,"Foley, Ben",Man,White,79.84,91.47,0,98.13,0,40.58,NA,NA,NA,NA,13.58,11.47,0.47,6.4
42,E14000813,Mid Bedfordshire,27.6,1,1,England,East of England,County,Conservative,56.05235963,15.87495694,7.221839476,NA,NA,15.44264554,4.240440923,1.167757492,40.17740269,73.96084126,32544,9217,4193,NA,NA,8966,2462,NA,58060,228,78501,NA,3.562359628,1.104956941,-17.66816052,NA,NA,10.29264554,2.830440923,Conservative,52.49,14.77,24.89,NA,NA,5.15,1.41,NA,27.6,72.2,28815,8108,13663,NA,NA,2826,773,NA,54897,76023,"Dorries, Nadine Vanessa",Woman,White,"Pullen, Charlynne",Woman,White,"Jack, Linda Anne",Woman,White,"Wickens, Nigel Mark",Man,White,NA,NA,NA,NA,NA,NA,"Ellis, Gareth",Man,White,10.43,0,1.51,27.73,0,5.08,NA,NA,NA,NA,12.3,29.92,0.05,6.28
43,E14000841,North East Bedfordshire,34.09,1,1,England,East of England,County,Conservative,59.46788928,15.76049905,5.825606763,NA,NA,14.62196618,4.324038724,NA,43.70739024,70.22297758,34891,9247,3418,NA,NA,8579,2537,NA,58672,195,83551,NA,3.687889283,-0.359500954,-15.86439324,NA,NA,10.49196618,4.324038724,Conservative,55.78,16.12,21.69,NA,NA,4.13,0,2.28,34.1,71.2,30989,8957,12047,NA,NA,2294,NA,1265,55552,78060,"Burt, Alistair James Hendrie",Man,White,"Ali, Saqhib Ijthehad",Man,BME,"Morris, Peter",Man,White,"Smyth, Adrianne",Woman,White,NA,NA,NA,NA,NA,NA,"Bowler, Mark",Man,White,1.03,40.63,4.94,8.4,0,9.67,NA,NA,NA,NA,5.31,1.43,0,0
44,E14000949,South West Bedfordshire,32.79,1,1,England,East of England,County,Conservative,54.98986434,20.26937471,5.157492593,NA,NA,15.47832528,4.104943084,NA,34.72048963,64.70833071,28212,10399,2646,NA,NA,7941,2106,NA,51304,244,79285,NA,2.179864338,0.679374708,-14.86250741,NA,NA,11.25832528,4.104943084,Conservative,52.81,19.59,20.02,NA,NA,4.22,0,3.35,32.8,66.3,26815,9948,10166,NA,NA,2142,NA,1703,50774,76559,"Selous, Andrew",Man,White,"Scott, Daniel",Man,White,"Rutherford, Stephen John",Man,White,"van Weenen, John",Man,White,NA,NA,NA,NA,NA,NA,"Lawrence, Emily Anne",Woman,White,1.6,73.51,3.8,5.2,0,5.59,NA,NA,NA,NA,0,9.28,0,1.95
49,E14000553,Bermondsey and Old Southwark,-31.24,1,-1,England,London,Borough,Labour,11.76687928,43.06549471,34.33610765,NA,NA,6.327784692,3.933960797,0.569772869,8.729387057,61.73497563,6051,22146,17657,NA,NA,3254,2023,NA,51424,206,83298,Labour gain from Liberal Democrat,-5.343120722,13.81549471,-14.01389235,NA,NA,6.327784692,2.323960797,Liberal Democrat,17.11,29.25,48.35,NA,NA,0,1.61,3.07,19.1,57.5,7638,13060,21590,NA,NA,NA,718,1370,44651,77628,"Floru, Jean-Paul",Man,White,"Coyle, Neil",Man,White,"Hughes, Simon Henry Ward",Man,White,"Beadle, Andrew",Man,White,NA,NA,NA,NA,NA,NA,"Lavin, William Barry",Man,White,2.76,22.5,77.09,94.3,58.74,94.54,NA,NA,NA,NA,4.59,2.49,5.04,2.35
50,E14000554,Berwick-upon-Tweed,-7,0,0,England,North East,County,Conservative,41.07315142,14.94693615,28.91670584,NA,NA,11.16443609,3.681072657,0.217697845,12.15644559,70.95613404,16603,6042,11689,NA,NA,4513,1488,NA,40423,78,56969,Conservative gain from Liberal Democrat,4.353151424,1.77693615,-14.80329416,NA,NA,7.934436088,3.681072657,Liberal Democrat,36.72,13.17,43.72,NA,NA,3.23,0,3.16,7,67,14116,5061,16806,NA,NA,1243,NA,1213,38439,73826,"Trevelyan, Anne-Marie Belinda",Woman,White,"Dickinson, Scott",Man,White,"Porksen, Julie",Woman,White,"Coghill-Marshall, Nigel Revell",Man,White,NA,NA,NA,NA,NA,NA,"Roberts, Rachael Amanda",Woman,White,96.51,92.69,0,27.79,96.19,97.8,NA,NA,NA,NA,1.92,13.83,1.71,11.16
52,E14000555,Bethnal Green and Bow,-29,1,-1,England,London,Borough,Labour,15.24828055,61.19529892,4.525357116,NA,NA,6.082306704,9.269896455,3.678860252,45.94701837,63.97427684,8070,32387,2395,NA,NA,3219,4906,NA,52924,263,82727,NA,1.308280553,18.25529892,-15.60464288,NA,NA,6.082306704,7.579896455,Labour,13.94,42.94,20.13,NA,NA,0,1.69,2.77,22.8,62.4,7071,21784,10210,NA,NA,NA,856,1405,50728,81243,"Smith, Matthew",Man,White,"Ali, Rushanara",Woman,BME,"Lashmore, Teena",Woman,BME,"McQueen, Pauline",Woman,White,NA,NA,NA,NA,NA,NA,"Polson, Alistair",Man,White,1.51,31.15,59.45,73.44,0,1.07,NA,NA,NA,NA,0,5.65,0.79,5.52
53,E14000556,Beverley and Holderness,24.41,1,1,England,Yorkshire and The Humber,County,Conservative,48.14814815,24.98244015,5.50524897,NA,NA,16.69419291,3.420847808,1.249122008,23.16570799,65.19027288,25363,13160,2900,NA,NA,8794,1802,NA,52677,159,80805,NA,1.038148148,3.882440154,-17.19475103,NA,NA,13.22419291,2.130847808,Conservative,47.11,21.1,22.7,NA,NA,3.47,1.29,3.91,24.4,66.8,25063,11224,12076,NA,NA,1845,686,2080,53199,79318,"Stuart, Graham",Man,White,"Pinder, Margaret",Woman,White,"Healy, Denis",Man,White,"Shores, Gary",Man,White,NA,NA,NA,NA,NA,NA,"Howarth, Richard",Man,White,0,79.23,10.51,21.77,4.81,2.9,NA,NA,NA,NA,0.07,5.93,1.18,0
54,E14000557,Bexhill and Battle,23.59,0,0,England,South East,County,Conservative,54.77380564,14.12039552,7.604404361,NA,NA,18.4179072,5.083487269,NA,36.35589844,70.07716128,30245,7797,4199,NA,NA,10170,2807,NA,55218,300,78796,NA,3.213805643,2.170395523,-20.36559564,NA,NA,18.4179072,5.083487269,Conservative,51.56,11.95,27.97,NA,NA,0,0,3.57,23.6,68.9,28147,6524,15267,NA,NA,NA,NA,1950,54587,81032,"Merriman, Huw William",Man,White,"Thew, Michelle",Woman,White,"Sadler, Rachel Cerys",Woman,White,"Bastin, Geoffrey Bernard",Man,White,NA,NA,NA,NA,NA,NA,"Kent, Jonathan Christopher",Man,White,13.14,40.16,7.65,28.86,0.68,13.46,NA,NA,NA,NA,0.86,28.6,0,1.89
