pano,ons_const_id,constituency_name,Con_Margin,intermediate_step,Incumbency_Status,country,region,constituency_type,winner_17,con_17,lab_17,ld_17,snp_17,pc_17,ukip_17,green_17,other_17,majority_17,turnout_17,con_vote_17,lab_vote_17,ld_vote_17,snp_vote_17,pc_vote_17,ukip_vote_17,green_vote_17,total_vote_17,rejected_vote_17,electorate_17,seat_change_1517,con_1517,lab_1517,ld_1517,snp_1517,pc_1517,ukip_1517,green_1517,winner_15,con_15,lab_15,ld_15,snp_15,pc_15,ukip_15,green_15,other_15,majority_15,turnout_15,con_vote_15,lab_vote_15,ld_vote_15,snp_vote_15,pc_vote_15,ukip_vote_15,green_vote_15,bnp_vote_15,total_vote_15,rejected_vote_15,electorate_15,seat_change_1015,con_1015,lab_1015,ld_1015,snp_1015,pc_1015,ukip_1015,green_1015,winner_10,con_10,lab_10,ld_10,snp_10,pc_10,ukip_10,green_10,bnp_10,majority_10,turn_10,con_vote_10,lab_vote_10,ld_vote_10,snp_vote_10,pc_vote_10,ukip_vote_10,green_vote_10,bnp_vote_10,total_vote_10,electorate_10,leave_hanretty,remain_hanretty,con_ppc_17,con_ppc_sex_17,lab_ppc_17,lab_ppc_sex_17,ld_ppc_17,ld_ppc_sex_17,snp_ppc_17,snp_ppc_sex_17,pc_ppc_17,pc_ppc_sex_17,ukip_ppc_17,ukip_ppc_sex_17,green_ppc_17,green_ppc_sex_17,con_ppc_15,con_ppc_sex_15,con_ppc_race_15,lab_ppc_15,lab_ppc_sex_15,lab_ppc_race_15,ld_ppc_15,ld_ppc_sex_15,ld_ppc_race_15,snp_ppc_15,snp_ppc_sex_15,snp_ppc_race_15,pc_ppc_15,pc_ppc_sex_15,pc_ppc_race_15,ukip_ppc_15,ukip_ppc_sex_15,ukip_ppc_race_15,green_ppc_15,green_ppc_sex_15,green_ppc_race_15
28,E14000540,Barking,-41.37218001,1,-1,England,London,Borough,Labour,22.4648168,67.78455924,1.256318295,NA,NA,6.357096416,1.518488223,0.61872103,45.31974244,61.90309262,10711,32319,599,NA,NA,3031,724,47679,103,77022,NA,6.15711019,10.10467262,-0.049413449,NA,NA,-15.84034323,-0.565571162,Labour,16.30770661,57.67988662,1.305731744,NA,NA,22.19743965,2.084059385,0.425175995,35.48244697,58.18159698,7019,24826,562,NA,NA,9554,897,NA,43041,111,73977,NA,-1.492293395,3.36988662,-6.894268256,NA,NA,19.32743965,1.384059385,Labour,17.8,54.31,8.2,NA,NA,2.87,0.7,14.6,36.5,61.4,8073,24628,3719,NA,NA,1300,317,6620,45343,73864,59.97487956,40.02512044,"Talati, Minesh",Man,"Hodge, Margaret",Woman,"Pearce, Pauline",Woman,NA,NA,NA,NA,"Gravett, Roger",Man,"Butterfield, Shannon",Woman,"Rahman, Mina",Woman,BME,"Hodge, Margaret Eve",Woman,White,"Willcock, Peter Anthony",Man,White,NA,NA,NA,NA,NA,NA,"Gravett, Roger",Man,White,"Rablen, Tony Ford",Man,White
29,E14000541,Barnsley Central,-40.73030635,1,-1,England,Yorkshire and The Humber,Borough,Labour,24.14101875,63.91383324,1.404559061,NA,NA,8.542482155,1.458285363,0.539821424,39.77281449,60.87938446,9436,24982,549,NA,NA,3339,570,39087,66,64204,NA,9.138283523,8.180791668,-0.701567854,NA,NA,-13.17797736,-1.107360151,Labour,15.00273523,55.73304158,2.106126915,NA,NA,21.72045952,2.565645514,2.871991247,34.01258206,56.65230731,5485,20376,770,NA,NA,7941,938,NA,36560,110,64534,NA,-2.25726477,8.473041575,-15.17387309,NA,NA,17.05045952,2.565645514,Labour,17.26,47.26,17.28,NA,NA,4.67,NA,8.94,30,56.5,6388,17487,6394,NA,NA,1727,NA,3307,37001,65451,68.18813044,31.81186956,"Ford, Amanda",Woman,"Jarvis, Dan",Man,"Ridgway, David",Man,NA,NA,NA,NA,"Felton, Gavin",Man,"Trotman, Richard",Man,"Carter, Kay Julie",Woman,White,"Jarvis, Dan",Man,White,"Ridgway, Jonh Anthony David",Man,White,NA,NA,NA,NA,NA,NA,"Hunter, Lee James",Man,White,"Short, Michael",Man,White
30,E14000542,Barnsley East,-40.13033206,0,0,England,Yorkshire and The Humber,County,Labour,26.96929566,59.54483029,1.839317245,NA,NA,7.963017461,NA,3.683539337,32.57553463,58.91293669,10997,24280,750,NA,NA,3247,NA,40776,91,69214,NA,12.37314332,4.818345883,-1.320326548,NA,NA,-15.52011985,NA,Labour,14.59615235,54.72648441,3.159643794,NA,NA,23.48313732,0,4.034582133,31.24334709,55.71273595,5622,21079,1217,NA,NA,9045,NA,NA,38517,180,69135,NA,-1.893847652,7.676484409,-15.00035621,NA,NA,18.97313732,NA,Labour,16.49,47.05,18.16,NA,NA,4.51,NA,8.6,28.9,56.1,6329,18059,6969,NA,NA,1731,NA,3301,38386,68401,70.98499348,29.01500652,"Lloyd, Andrew",Man,"Peacock, Stephanie",Woman,"Turner, Nicola",Woman,NA,NA,NA,NA,"Dalton, James",Man,NA,NA,"Harborne, Katharine Mary",Woman,White,"Dugher, Michael Vincent",Man,White,"Coleman-Taylor, Ruth",Woman,White,NA,NA,NA,NA,NA,NA,"Swiffen, Robert Graham",Man,White,NA,NA,NA
31,E14000543,Barrow and Furness,-1.837088388,1,-1,England,North West,County,Labour,47.03299012,47.47215802,2.685438117,NA,NA,2.021433074,0.787980668,-1.42109E-14,0.439167892,68.50044621,22383,22592,1278,NA,NA,962,375,47590,60,69474,NA,6.536167478,5.138246982,-0.015890594,NA,NA,-9.694338156,-1.663781319,Labour,40.49682265,42.33391103,2.701328712,NA,NA,11.71577123,2.451761987,0.300404391,1.837088388,63.32494366,17525,18320,1169,NA,NA,5070,1061,NA,43275,159,68338,NA,4.196822646,-5.776088966,-7.328671288,NA,NA,9.805771231,1.251761987,Labour,36.3,48.11,10.03,NA,NA,1.91,1.2,1.9,11.8,64.2,16018,21226,4424,NA,NA,841,530,840,44124,68943,57.27870645,42.72129355,"Fell, Simon",Man,"Woodcock, John",Man,"Birchall, Loraine",Woman,NA,NA,NA,NA,"Piper, Alan",Man,"O'Hara, Rob",Man,"Fell, Simon",Man,White,"Woodcock, John Zak",Man,White,"Peaple, Clive Jonathan",Man,White,NA,NA,NA,NA,NA,NA,"Cecil, Nigel",Man,White,"O'Hara, Robert",Man,White
32,E14000544,Basildon and Billericay,29.00901738,1,1,England,East of England,Borough,Conservative,60.95774522,31.12560666,3.446279888,NA,NA,4.470368227,NA,-1.42109E-14,29.83213856,64.9582785,27381,13981,1548,NA,NA,2008,NA,44918,121,69149,NA,8.275770696,7.452649517,-0.35589544,NA,NA,-15.37252477,NA,Conservative,52.68197453,23.67295714,3.802175328,NA,NA,19.842893,0,NA,29.00901738,64.85296999,22668,10186,1636,NA,NA,8538,NA,NA,43028,198,66347,NA,-0.058025472,0.612957144,-11.92782467,NA,NA,16.012893,NA,Conservative,52.74,23.06,15.73,NA,NA,3.83,NA,4.65,29.7,63.5,21922,9584,6538,NA,NA,1591,NA,1934,41569,65515,67.13587731,32.86412269,"Baron, John",Man,"Block, Kayte",Woman,"Harrison, Antonia",Woman,NA,NA,NA,NA,"Hughes, Tina",Woman,NA,NA,"Baron, John Charles",Man,White,"Callaghan, Gavin Dominc",Man,White,"Thompson, Martin Adam",Man,White,NA,NA,NA,NA,NA,NA,"Konstantinidis, George",Man,White,NA,NA,NA
33,E14000933,South Basildon and East Thurrock,16.86881758,1,1,England,East of England,County,Conservative,56.89940577,32.51485569,1.553480475,NA,NA,6.776315789,1.443123939,0.812818336,24.38455008,64.0765873,26811,15321,732,NA,NA,3193,680,47120,75,73537,NA,13.49800643,7.307038698,-1.420660292,NA,NA,-19.75626597,NA,Conservative,43.40139934,25.20781699,2.974140767,NA,NA,26.53258176,0,1.88406115,16.86881758,64.07560958,19788,11493,1356,NA,NA,12097,NA,NA,45593,106,71155,NA,-0.468600662,-5.752183011,-10.38585923,NA,NA,20.63258176,NA,Conservative,43.87,30.96,13.36,NA,NA,5.9,NA,5.63,12.9,62.3,19624,13852,5977,NA,NA,2639,NA,2518,44735,71874,72.99557169,27.00442831,"Metcalfe, Stephen",Man,"Taylor, Byron",Man,"Banerji, Reetendra",Man,NA,NA,NA,NA,"Whittle, Peter",Man,"Harman, Sim",Man,"Metcalfe, Stephen",Man,White,"Le-Surf, Mike",Man,White,"Williams, Geoff",Man,White,NA,NA,NA,NA,NA,NA,"Luder, Ian",Man,White,NA,NA,NA
34,E14000545,Basingstoke,20.84369583,1,1,England,South East,Borough,Conservative,52.73409578,35.81844174,6.08649035,NA,NA,3.00393138,1.976411723,0.380629021,16.91565404,68.3480916,29510,20044,3406,NA,NA,1681,1106,55960,138,81875,NA,4.18296156,8.111003354,-1.297261251,NA,NA,-12.61518084,NA,Conservative,48.55113422,27.70743839,7.383751601,NA,NA,15.61911222,0,0.738563569,20.84369583,66.62398795,25769,14706,3919,NA,NA,8290,NA,NA,53076,219,79665,NA,-1.968865777,7.31743839,-17.1262484,NA,NA,11.51911222,NA,Conservative,50.52,20.39,24.51,NA,NA,4.1,NA,NA,26,67.1,25590,10327,12414,NA,NA,2076,NA,NA,50654,75326,53.59878197,46.40121803,"Miller, Maria",Woman,"Bridgeman, Terry",Man,"Shaw, John",Man,NA,NA,NA,NA,"Stone, Alan",Man,"Winter, Richard",Man,"Miller, Maria Fraces Lewis",Woman,White,"Harvey, Paul Duncan",Man,White,"Spalding, Janice Ursula",Woman,White,NA,NA,NA,NA,NA,NA,"Stone, Alan Harvey",Man,White,NA,NA,NA
35,E14000546,Bassetlaw,-17.94112277,1,-1,England,East Midlands,County,Labour,43.28229665,52.56842105,2.20861244,NA,NA,NA,NA,1.940669856,9.286124402,66.52661064,22615,27467,1154,NA,NA,NA,NA,52250,127,78540,NA,12.60202316,3.947024798,-0.491787243,NA,NA,-15.95690722,-2.041023352,Labour,30.68027349,48.62139625,2.700399683,NA,NA,15.95690722,2.041023352,NA,17.94112277,64.18172822,15122,23965,1331,NA,NA,7865,1006,NA,49289,170,76796,NA,-3.209726511,-1.838603745,-8.539600317,NA,NA,12.36690722,2.041023352,Labour,33.89,50.46,11.24,NA,NA,3.59,NA,NA,16.6,64.8,16803,25018,5570,NA,NA,1779,NA,NA,49577,76513,68.32275495,31.67724505,"Simpson, Annette",Woman,"Mann, John",Man,"Duveen, Leon",Man,NA,NA,NA,NA,NA,NA,NA,NA,"Downes, Sarah Catherine",Woman,White,"Mann, John",Man,White,"Duveen, Leon Maurice",Man,White,NA,NA,NA,NA,NA,NA,"Scott, David John (Dave)",Man,White,"Wragg, Kris",Man,White
36,E14000547,Bath,8.126444336,1,1,England,South West,Borough,Liberal Democrat,35.78242543,14.68043483,47.26620011,NA,NA,NA,2.270939637,NA,11.48377468,74.25050166,17742,7279,23436,NA,NA,NA,1126,49583,112,66778,Liberal Democrat gain from Conservative,-2.025787941,1.501729376,17.58443108,NA,NA,-6.195009223,-9.673852273,Conservative,37.80821337,13.17870545,29.68176903,NA,NA,6.195009223,11.94479191,1.191511014,8.126444336,74.76856255,17833,6216,14000,NA,NA,2922,5634,NA,47167,192,63084,Conservative gain from Liberal Democrat,6.44821337,6.278705451,-26.91823097,NA,NA,4.305009223,9.56479191,Liberal Democrat,31.36,6.9,56.6,NA,NA,1.89,2.38,NA,25.2,71.8,14768,3251,26651,NA,NA,890,1120,NA,47086,66686,31.72454892,68.27545108,"Howlett, Ben",Man,"Rayment, Joe",Man,"Hobhouse, Wera",Woman,NA,NA,NA,NA,NA,NA,"Field, Eleanor",Woman,"Howlett, Ben",Man,White,"Middleton, Ollie",Man,White,"Bradley, Steve",Man,White,NA,NA,NA,NA,NA,NA,"Deverell, Julian Richard",Man,White,"Tristram, Dominic Barrington",Man,White
37,E14000548,Batley and Spen,-11.99904911,1,-1,England,Yorkshire and The Humber,Borough,Labour,38.83042023,55.49274823,2.275939011,NA,NA,NA,1.292301971,2.108590554,16.662328,67.08998141,20883,29844,1224,NA,NA,NA,695,53780,128,80161,NA,7.591687292,12.25496619,-2.470589248,NA,NA,-17.98767804,-1.1483169,Labour,31.23873294,43.23778205,4.746528259,NA,NA,17.98767804,2.440618871,0.348659839,11.99904911,64.40866115,15769,21826,2396,NA,NA,9080,1232,NA,50479,200,78373,NA,-2.331267062,1.047782048,-11.09347174,NA,NA,17.98767804,1.260618871,Labour,33.57,42.19,15.84,NA,NA,NA,1.18,7.21,8.6,66.6,17159,21565,8095,NA,NA,NA,605,3685,51109,76738,59.62839763,40.37160237,"Myatt, Ann",Woman,"Brabin, Tracy",Woman,"Lawson, John",Man,NA,NA,NA,NA,NA,NA,"Freeman, Alan",Man,"Ameen, Imtiaz Ali",Man,BME,"Cox, Jo",Woman,White,"Lawson, John Craig",Man,White,NA,NA,NA,NA,NA,NA,"Lukic, Aleksandar",Man,White,"Bullock, Ian James",Man,White
38,E14000549,Battersea,15.55525073,1,1,England,London,Borough,Labour,41.54891206,45.93701188,7.99338879,NA,NA,0.648407134,1.572886774,2.299393367,4.388099822,70.97481115,22876,25292,4401,NA,NA,357,866,55058,112,77574,Labour gain from Conservative,-10.83101387,9.112336681,3.601940455,NA,NA,-2.459507663,-1.723148969,Conservative,52.37992593,36.8246752,4.391448335,NA,NA,3.107914797,3.296035743,NA,15.55525073,67.04812708,26730,18792,2241,NA,NA,1586,1682,NA,51031,141,76111,NA,5.029925927,1.724675197,-10.31855166,NA,NA,2.067914797,2.146035743,Conservative,47.35,35.1,14.71,NA,NA,1.04,1.15,NA,12.3,65.7,23103,17126,7176,NA,NA,505,559,NA,48792,74311,22.04674055,77.95325945,"Ellison, Jane",Woman,"De Cordova, Marsha",Woman,"Davis, Richard",Man,NA,NA,NA,NA,"Power, Eugene",Man,"Davis, Lois",Woman,"Ellison, Jane",Woman,White,"Martindale, Will",Man,White,"Taylor, Luke Alexander",Man,White,NA,NA,NA,NA,NA,NA,"Howe, Christopher Jeffrey",Man,White,"Stuart, Joe",Man,BME
